"Postcode","OA_Code","Total","Percentage"
"S21 4EZ","E00100164",65,96
"S21 4EZ","E00100166",3,4
"S21 4FH","E00040693",2,4
"S21 4FH","E00100157",12,25
"S21 4FH","E00165811",34,71
"S21 4FW","E00100156",1,2
"S21 4FW","E00100157",51,98
"S21 4GB","E00100163",42,95
"S21 4GB","E00100164",2,5
"S21 4HZ","E00100144",4,4
"S21 4HZ","E00100149",93,96
"S21 4JD","E00100165",4,4
"S21 4JD","E00100166",92,96
"S21 5RB","E00100282",7,10
"S21 5RB","E00100287",62,90
"S21 5RH","E00100282",134,98
"S21 5RH","E00100338",3,2
"S21 5RN","E00100282",2,6
"S21 5RN","E00100338",34,94
"S21 5RP","E00098771",7,26
"S21 5RP","E00100338",20,74
"S21 5RT","E00100285",6,75
"S21 5RT","E00100339",2,25
"S21 5RW","E00100282",4,3
"S21 5RW","E00100283",154,97
"S2  1DD","E00040588",56,95
"S2  1DD","E00040617",3,5
"S2  1DT","E00040626",51,54
"S2  1DT","E00172461",43,46
"S2  1DX","E00040626",32,86
"S2  1DX","E00172461",5,14
"S2  1DY","E00040626",8,44
"S2  1DY","E00172461",10,56
"S2  1FG","E00040616",4,8
"S2  1FG","E00040621",47,92
"S2  1GD","E00039897",4,6
"S2  1GD","E00039941",67,94
"S2  1GE","E00039941",59,68
"S2  1GE","E00041060",28,32
"S2  1GR","E00172461",17,71
"S2  1GR","E00172462",7,29
"S2  1HE","E00040626",28,46
"S2  1HE","E00172462",33,54
"S2  1HT","E00172461",40,54
"S2  1HT","E00172462",34,46
"S2  1JJ","E00040626",49,58
"S2  1JJ","E00172439",29,34
"S2  1JJ","E00172461",7,8
"S2  1JW","E00040626",37,71
"S2  1JW","E00172439",15,29
"S2  1LB","E00040626",64,96
"S2  1LB","E00040628",3,4
"S2  1LQ","E00040626",21,88
"S2  1LQ","E00172440",3,13
"S2  1PQ","E00040618",23,43
"S2  1PQ","E00172432",31,57
"S2  1QA","E00040615",3,13
"S2  1QA","E00040616",21,88
"S2  1QP","E00040616",7,44
"S2  1QP","E00040618",9,56
"S2  1UF","E00039897",97,99
"S2  1UF","E00039935",1,1
"S2  1UH","E00039933",39,98
"S2  1UH","E00040611",1,3
"S2  1UQ","E00039914",11,21
"S2  1UQ","E00040595",41,79
"S2  2BB","E00041032",47,92
"S2  2BB","E00041049",4,8
"S2  2JB","E00041021",67,94
"S2  2JB","E00041039",4,6
"S2  2JG","E00041039",70,95
"S2  2JG","E00041057",4,5
"S2  2RG","E00039937",2,2
"S2  2RG","E00039940",81,98
"S2  2RR","E00039938",25,89
"S2  2RR","E00172526",3,11
"S2  2RS","E00039936",38,93
"S2  2RS","E00172468",3,7
"S2  3AD","E00041054",57,71
"S2  3AD","E00041061",23,29
"S2  3AL","E00040404",14,70
"S2  3AL","E00040421",6,30
"S2  3AY","E00040408",81,91
"S2  3AY","E00040418",8,9
"S2  3GU","E00041054",11,15
"S2  3GU","E00041061",62,85
"S2  3HL","E00040403",26,96
"S2  3HL","E00040416",1,4
"S2  3HU","E00041024",14,10
"S2  3HU","E00041040",5,3
"S2  3HU","E00172475",81,55
"S2  3HU","E00172476",46,32
"S2  3LN","E00040425",15,13
"S2  3LN","E00041046",100,87
"S2  3PF","E00041020",5,13
"S2  3PF","E00041064",33,87
"S2  3QF","E00172471",1,14
"S2  3QF","E00172472",6,86
"S2  3RL","E00172471",89,79
"S2  3RL","E00172472",23,21
"S2  3RZ","E00040407",2,4
"S2  3RZ","E00172471",49,96
"S2  3SP","E00172466",32,24
"S2  3SP","E00172467",77,58
"S2  3SP","E00172469",23,17
"S2  3SQ","E00172466",124,77
