"Postcode","OA_Code","Total","Percentage"
"M19 2EQ","E00026450",24,36
"M19 2GF","E00026410",7,54
"M19 2GF","E00026439",6,46
"M19 2HZ","E00026426",49,69
"M19 2HZ","E00026427",22,31
"M19 2LH","E00026412",74,97
"M19 2LH","E00026417",2,3
"M19 2TE","E00026419",50,93
"M19 2TE","E00026420",4,7
"M19 2UB","E00026418",4,15
"M19 2UB","E00026419",22,85
"M19 3AQ","E00026440",20,80
"M19 3AQ","E00026522",5,20
"M19 3BN","E00026440",2,50
"M19 3BN","E00026446",2,50
"M19 3BQ","E00026411",17,40
"M19 3BQ","E00026418",26,60
"M19 3GJ","E00026444",12,86
"M19 3GJ","E00026449",2,14
"M19 3HA","E00026411",26,35
"M19 3HA","E00026418",49,65
"M19 3LJ","E00026320",16,23
"M19 3LJ","E00026451",55,77
"M19 3QP","E00026444",8,17
"M19 3QP","E00026449",40,83
"M19 3RP","E00026411",27,47
"M19 3RP","E00026418",30,53
"M19 3XD","E00026313",4,6
"M19 3XD","E00026317",59,94
"M20 1AL","E00026704",14,23
"M20 1AL","E00026705",48,77
"M20 1AY","E00026707",2,4
"M20 1AY","E00026736",2,4
"M20 1AY","E00026742",52,93
"M20 1HQ","E00026700",30,68
"M20 1HQ","E00026714",14,32
"M20 1LH","E00025680",56,84
"M20 1LH","E00175889",11,16
"M20 1LS","E00175886",48,76
"M20 1LS","E00175892",15,24
"M20 1LW","E00175884",57,90
"M20 1LW","E00175885",6,10
"M20 1LX","E00175884",94,64
"M20 1LX","E00175885",53,36
"M20 1LY","E00175885",83,39
"M20 1LY","E00175886",131,61
"M20 2DW","E00026187",30,91
"M20 2DW","E00026193",3,9
"M20 2ED","E00175884",56,57
"M20 2ED","E00175887",42,43
"M20 2EU","E00175884",34,23
"M20 2EU","E00175886",47,31
"M20 2EU","E00176088",69,46
"M20 2FG","E00026186",4,80
"M20 2FG","E00026189",1,20
"M20 2JB","E00175885",138,99
"M20 2JB","E00175887",0,0
"M20 2JB","E00175888",1,1
"M20 2JN","E00025707",114,97
"M20 2JN","E00025716",4,3
"M20 2JP","E00175885",7,23
"M20 2JP","E00175888",24,77
"M20 2LE","E00175888",21,70
"M20 2LE","E00175889",9,30
"M20 2LN","E00025680",23,85
"M20 2LN","E00025693",4,15
"M20 2LU","E00175885",9,32
"M20 2LU","E00175887",19,68
"M20 2ND","E00175888",24,33
"M20 2ND","E00175889",48,67
"M20 2RN","E00026204",2,4
"M20 2RN","E00026207",45,96
"M20 2RU","E00026203",13,76
"M20 2RU","E00026207",4,24
"M20 2TR","E00026174",26,96
"M20 2TR","E00026177",1,4
