"Postcode","OA_Code","Total","Percentage"
"B1  1PP","E00175628",0,0
"B1  1PP","E00175634",17,50
"B1  1PU","E00175657",6,86
"B1  1PU","E00175659",1,14
"B12 0DG","E00047450",4,40
"B12 0DG","E00047474",6,60
"B12 0NX","E00175637",2,3
"B12 0NX","E00175736",59,97
"B12 0PS","E00175674",25,26
"B12 0PS","E00175730",71,74
"B12 0QY","E00175608",1,25
"B12 0QY","E00175637",3,75
"B12 0RL","E00047467",41,56
"B12 0RL","E00175757",32,44
"B12 0RR","E00047448",10,77
"B12 0RR","E00047467",3,23
"B12 0TU","E00047448",68,89
"B12 0TU","E00175637",8,11
"B12 0UL","E00047448",34,61
"B12 0UL","E00047467",22,39
"B12 0XT","E00175757",0,0
"B12 0XT","E00175759",112,100
"B12 0XU","E00175757",0,0
"B12 0XU","E00175759",115,100
"B12 0YJ","E00047472",22,20
"B12 0YJ","E00175757",89,80
"B12 8AF","E00047521",51,89
"B12 8AF","E00047555",6,11
"B12 8JU","E00047523",13,76
"B12 8JU","E00047558",4,24
"B12 8JZ","E00047530",6,18
"B12 8JZ","E00047566",27,82
"B12 8LS","E00047506",75,99
"B12 8LS","E00047513",1,1
"B12 8QH","E00047564",5,4
"B12 8QH","E00047566",111,96
"B12 8QY","E00047517",168,85
"B12 8QY","E00047518",30,15
"B12 8SH","E00047516",72,68
"B12 8SH","E00175749",34,32
"B12 8SX","E00047511",14,93
"B12 8SX","E00175749",1,7
"B12 8TT","E00047494",2,18
"B12 8TT","E00047506",9,82
"B12 8XA","E00047493",78,94
"B12 8XA","E00047505",5,6
"B12 9HE","E00047454",23,92
"B12 9HE","E00047485",2,8
"B12 9NH","E00046533",118,97
"B12 9NH","E00046534",4,3
"B12 9QG","E00046557",58,82
"B12 9QG","E00046559",13,18
"B12 9QQ","E00046559",73,78
"B12 9QQ","E00047515",20,22
"B12 9RW","E00046554",86,98
"B12 9RW","E00047507",2,2
"B1  2LB","E00175638",58,74
"B1  2LB","E00175647",20,26
"B1  2LJ","E00046379",36,13
"B1  2LJ","E00175647",32,12
"B1  2LJ","E00175716",204,75
"B1  2LL","E00046379",20,95
"B1  2LL","E00175638",1,5
"B13 0AB","E00045380",4,5
"B13 0AB","E00046547",74,95
"B13 0AD","E00045376",19,63
"B13 0AD","E00045380",11,37
"B13 0AE","E00045380",1,11
"B13 0AE","E00046602",8,89
"B13 0EN","E00045327",2,8
"B13 0EN","E00045382",24,92
"B13 0PG","E00045530",15,15
"B13 0PG","E00045542",85,85
"B13 0PS","E00045334",43,86
"B13 0PS","E00045556",7,14
"B13 0PT","E00045388",2,1
"B13 0PT","E00045399",144,99
"B13 0RY","E00045526",31,67
"B13 0RY","E00046550",15,33
"B13 0TX","E00045376",4,5
"B13 0TX","E00045379",76,95
"B13 0UT","E00045385",102,98
"B13 0UT","E00045394",2,2
"B13 8AE","E00046558",80,87
"B13 8AE","E00046559",12,13
"B13 8BH","E00047527",94,85
"B13 8BH","E00047568",16,15
"B13 8BU","E00047574",145,98
"B13 8BU","E00047583",3,2
"B13 8BX","E00047531",70,99
"B13 8BX","E00047598",1,1
"B13 8DL","E00046563",66,97
"B13 8DL","E00046564",2,3
"B13 8HW","E00046583",2,10
"B13 8HW","E00047598",19,90
"B13 8NZ","E00046537",70,99
"B13 8NZ","E00046595",1,1
"B13 8RD","E00046561",4,19
"B13 8RD","E00046562",17,81
"B13 9BG","E00047536",3,3
"B13 9BG","E00047580",83,84
"B13 9BG","E00047596",9,9
"B13 9BG","E00175752",4,4
"B13 9BZ","E00047532",61,97
"B13 9BZ","E00047589",2,3
"B13 9DQ","E00175751",69,58
"B13 9DQ","E00175752",51,43
"B13 9EZ","E00046568",6,29
